Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
ISRG,2017-07-21,931.85,1211.10688035,0.299680077637,65.0,6,2,0.972831823577,382.949550946,0.226353777338,0.168206,Health Care
IT,2017-05-04,128.23,155.965619157,0.216295868025,63.0,2,1,0.942716768792,511.17058948,0.196497614507,0.055177,Information Technology
ITW,2017-05-05,140.82,194.954067415,0.384420305459,64.0,3,1,0.946051213769,369.258062454,0.111847310932,0.216239,Industrials
IVZ,2017-07-27,34.6,34.5878785326,-0.000350331427857,38.0,2,1,0.76203975276,60.2440779062,0.17130270603,0.069827,Financials
JBHT,2017-04-28,90.85,98.6577266212,0.0859408543888,64.0,4,2,0.954920118694,334.629801891,0.187231000595,0.037827,Industrials
JCI,2017-05-04,40.14,29.9145286368,-0.254745175964,52.0,6,2,0.640840653241,16.1663755982,0.246343137739,0.194412,Industrials
JEC,2017-05-09,53.06,60.4171715685,0.138657587044,64.0,5,1,0.860309694292,78.5995305696,0.16226676513,0.029892,Industrials
JNJ,2017-05-08,130.83,125.95503032,-0.0372618640985,52.0,3,1,0.967912749686,513.805447131,0.0635089789341,1.735509,Health Care
JNPR,2017-05-08,27.81,23.7658229305,-0.145421685346,62.0,5,1,0.668742479097,25.629352483,0.204539615102,0.052102,Information Technology
JPM,2017-05-02,91.55,79.6128095387,-0.130389846655,64.0,3,1,0.875814223623,149.101491432,0.136378199792,1.528485,Financials
JWN,2017-05-31,48.97,67.1134865425,0.370502073565,61.0,3,1,0.887864544989,159.355721641,0.217245937995,0.025731,Consumer Discretionary
K,2017-05-08,67.68,60.5692028676,-0.105064969451,63.0,7,2,0.932057412681,122.505023298,0.0956828058813,0.078453,Consumer Staples
KEY,2017-05-05,18.06,15.2546135999,-0.155337009971,63.0,1,1,0.864883788965,397.864258591,0.187865546979,0.094969,Financials
KIM,2017-04-28,21.02,21.1409494342,0.00575401685095,65.0,2,1,0.876658873086,228.443064942,0.147485587302,0.03725,Real Estate
KLAC,2017-04-28,99.93,76.7294361977,-0.232168155732,63.0,3,2,0.660598235578,41.2247865698,0.253912678369,0.075125,Information Technology
KMB,2017-07-25,124.21,128.822036477,0.0371309594826,65.0,4,1,0.95452924462,336.874515084,0.10079893355,0.2076,Consumer Staples
KMX,2017-07-07,66.48,57.0887297315,-0.141264594893,58.0,2,1,0.878224197284,206.536642456,0.204691148951,0.056767,Consumer Discretionary
KO,2017-07-27,46.12,46.0837005493,-0.000787065279105,65.0,2,0,0.942523313874,525.747477224,0.094437757159,0.813011,Consumer Staples
KR,2017-06-27,23.95,24.8080748159,0.0358277584947,68.0,3,2,0.950424564309,429.158589171,0.119671075053,0.101282,Consumer Staples
KSS,2017-06-02,41.52,43.6912697615,0.0522945510955,63.0,2,1,0.362427101328,18.6218910254,0.132984072984,0.033188,Consumer Discretionary
KSU,2017-07-21,101.51,124.543989158,0.226913497769,64.0,2,1,0.935140764684,455.167150504,0.200479657293,0.052439,Industrials
L,2017-05-01,48.12,47.2648457897,-0.0177712845041,61.0,3,1,0.953636433051,412.373194865,0.0825347412422,0.062063,Financials
LB,2017-06-02,45.97,42.802982626,-0.0688931340876,64.0,2,1,0.895480587837,270.879421756,0.276428892624,0.050966,Consumer Discretionary
LEG,2017-05-09,51.79,61.0047260471,0.177924812649,64.0,2,1,0.885427512593,244.43511499,0.162155709126,0.033097,Consumer Discretionary
LEN,2017-06-30,53.03,52.7143885117,-0.00595156493078,64.0,3,2,0.840822400696,111.928111065,0.224718774165,0.051034,Consumer Discretionary
LH,2017-04-28,160.1,168.95586417,0.0553145794482,60.0,5,2,0.904269361127,112.462522207,0.127930963073,0.074548,Health Care
LKQ,2017-05-01,33.91,41.4274344984,0.221687835401,53.0,3,2,0.940893479935,276.922525993,0.196845519908,0.04775,Consumer Discretionary
